                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.95092,                0.66715,                 1.1765,                0.73045,                0.71813,                0.73126,                0.51285,                 1.2161,                0.99003,                 1.3921,               0.003367,               0.003367,               0.003367
                     70,                0.96338,                0.66881,                 1.1768,                0.74705,                 0.7028,                0.72972,                0.51174,                 1.2185,                0.98934,                 1.3934,               0.003268,               0.003268,               0.003268
                     71,                0.95103,                0.66249,                 1.1739,                0.76926,                0.68987,                0.73108,                0.51175,                 1.2148,                 1.0017,                 1.3893,               0.003169,               0.003169,               0.003169
                     72,                0.95384,                0.65972,                  1.172,                0.77244,                0.69655,                0.73156,                0.51181,                   1.22,                 1.0062,                 1.3989,                0.00307,                0.00307,                0.00307
                     73,                0.94204,                0.64897,                 1.1679,                0.75673,                0.70193,                0.73133,                0.51063,                 1.2248,                 1.0126,                    1.4,               0.002971,               0.002971,               0.002971
                     74,                0.94135,                0.64098,                 1.1636,                0.74278,                0.70679,                0.72936,                0.50952,                  1.225,                 1.0152,                 1.3995,               0.002872,               0.002872,               0.002872
                     75,                0.94603,                0.64718,                 1.1716,                0.74188,                 0.7113,                 0.7294,                0.51055,                 1.2172,                 1.0172,                 1.3918,               0.002773,               0.002773,               0.002773
                     76,                0.93194,                0.63477,                 1.1606,                0.74255,                 0.7119,                0.72976,                0.50992,                  1.223,                 1.0162,                 1.3973,               0.002674,               0.002674,               0.002674
                     77,                0.93296,                0.63339,                 1.1576,                0.75033,                 0.7061,                0.72947,                0.51095,                 1.2263,                 1.0175,                 1.4019,               0.002575,               0.002575,               0.002575
                     78,                0.92941,                0.62745,                 1.1576,                0.75311,                0.70663,                0.73075,                0.51183,                 1.2274,                 1.0232,                 1.4039,               0.002476,               0.002476,               0.002476
                     79,                0.92317,                0.62173,                  1.156,                0.75182,                0.71198,                0.73144,                0.51173,                 1.2297,                  1.025,                 1.4076,               0.002377,               0.002377,               0.002377
                     80,                 0.9179,                0.62722,                 1.1564,                0.75844,                0.70073,                 0.7329,                0.51235,                 1.2286,                 1.0194,                 1.4087,               0.002278,               0.002278,               0.002278
                     81,                0.91361,                0.61861,                 1.1537,                0.75192,                0.70511,                0.73085,                0.51018,                 1.2308,                 1.0215,                 1.4126,               0.002179,               0.002179,               0.002179
                     82,                0.91259,                0.60832,                 1.1486,                0.77829,                0.68153,                0.72873,                0.50912,                 1.2331,                 1.0285,                 1.4143,                0.00208,                0.00208,                0.00208
                     83,                0.90376,                0.60315,                 1.1458,                0.76381,                0.69093,                0.72678,                0.50807,                 1.2316,                 1.0352,                 1.4124,               0.001981,               0.001981,               0.001981
                     84,                0.90822,                0.60803,                 1.1487,                0.75282,                0.69635,                0.72403,                0.50681,                 1.2351,                  1.046,                 1.4175,               0.001882,               0.001882,               0.001882
                     85,                0.90095,                0.59836,                 1.1469,                0.74916,                0.69457,                0.72295,                0.50636,                 1.2367,                 1.0469,                 1.4202,               0.001783,               0.001783,               0.001783
                     86,                0.89344,                0.58907,                 1.1397,                0.74765,                  0.695,                0.72223,                0.50562,                 1.2401,                 1.0482,                 1.4216,               0.001684,               0.001684,               0.001684
                     87,                0.89514,                0.58862,                 1.1384,                0.74457,                 0.6997,                 0.7237,                0.50558,                 1.2427,                 1.0503,                 1.4234,               0.001585,               0.001585,               0.001585
                     88,                0.89386,                0.59411,                 1.1419,                0.74989,                0.69359,                0.72089,                0.50499,                 1.2427,                  1.051,                 1.4234,               0.001486,               0.001486,               0.001486
                     89,                0.88866,                0.58331,                 1.1378,                0.75122,                0.69273,                0.72075,                  0.505,                 1.2442,                 1.0554,                 1.4252,               0.001387,               0.001387,               0.001387
                     90,                0.87846,                0.57897,                 1.1327,                0.75005,                0.69459,                 0.7223,                0.50653,                 1.2456,                 1.0583,                 1.4276,               0.001288,               0.001288,               0.001288
                     91,                0.84103,                0.49539,                  1.106,                0.76264,                0.68891,                0.72332,                 0.5062,                  1.246,                 1.0599,                 1.4292,               0.001189,               0.001189,               0.001189
                     92,                0.82427,                0.47661,                  1.096,                0.76938,                0.68596,                0.72366,                0.50638,                 1.2472,                 1.0578,                 1.4327,                0.00109,                0.00109,                0.00109
